MaNV,TenNV,ChucVu,BoPhan,CCCD,SDT_NV,Email_NV,NgaySinh,GioiTinh
NV000001,Nguyen Duc Oanh,Phi cong,Dieu hanh bay,789725878617,098205358300,nv1@airline.vn,1990-07-15,Nam
NV000002,Huynh Thi Cuong,Ky thuat,Ky thuat may bay,997814425058,033526379300,nv2@airline.vn,1985-05-01,Nam
NV000003,Nguyen Manh,Tiep vien,Dieu hanh bay,572456068000,032227684100,nv3@airline.vn,1977-09-27,Khac
NV000004,Nguyen Duc Anh,Dieu hanh,Tai chinh,645680730427,096458050200,nv4@airline.vn,1994-11-18,Nu
NV000005,Tran Manh,Dieu hanh,Tai chinh,294684800412,096435975600,nv5@airline.vn,1960-11-14,Nam
NV000006,Huynh Manh,Phi cong,Khai thac bay,906377576854,034383572900,nv6@airline.vn,1978-11-09,Khac
NV000007,Le Thi Uyen,Tiep vien,Ky thuat may bay,937937830041,034619242100,nv7@airline.vn,1994-12-18,Nam
NV000008,Tran Van Hung,Phi cong,Phuc vu mat dat,954981883593,098553070500,nv8@airline.vn,1971-02-25,Khac
NV000009,Huynh Dung,Dieu hanh,Khai thac bay,836506325723,096566910800,nv9@airline.vn,1965-06-26,Nam
NV000010,Huynh Khanh,Tiep vien,An toan bay,378936396416,097130580700,nv10@airline.vn,1965-02-06,Nam
NV000011,Huynh Thi Khanh,Ky thuat,Tai chinh,131573947797,034753100400,nv11@airline.vn,1987-02-26,Khac
NV000012,Pham Thi Khanh,Dieu hanh,Tai chinh,952479811119,096212240500,nv12@airline.vn,1974-11-25,Khac
NV000013,Dang Viet,Tiep vien,Tai chinh,316332652834,032161034600,nv13@airline.vn,1988-04-01,Nu
NV000014,Nguyen Duc Son,Ky thuat,Tai chinh,107892084516,034877592500,nv14@airline.vn,1965-03-27,Nam
NV000015,Bui Van Anh,Dieu hanh,Phuc vu mat dat,643199244851,096671605300,nv15@airline.vn,1967-10-26,Nam
NV000016,Huynh Duc Manh,Dieu hanh,Dieu hanh bay,139915069480,098278801900,nv16@airline.vn,1963-05-22,Nam
NV000017,Hoang Thi Thu,Tiep vien,Ky thuat may bay,554621158698,032990806900,nv17@airline.vn,1983-02-16,Nu
NV000018,Hoang Van Uyen,Phi cong,Ky thuat may bay,303271154946,097256156000,nv18@airline.vn,1968-09-20,Nam
NV000019,Huynh Van Dung,Tiep vien,Ky thuat may bay,298099898903,096456197800,nv19@airline.vn,1997-02-08,Nam
NV000020,Hoang Van Oanh,Dieu hanh,An toan bay,859652155913,096598629500,nv20@airline.vn,1995-11-10,Nam
NV000021,Vu Duc Binh,Ky thuat,Khai thac bay,467897868469,034187331200,nv21@airline.vn,1968-02-04,Nam
NV000022,Tran Van Yen,Ky thuat,Ky thuat may bay,694449194985,032543392000,nv22@airline.vn,1970-10-18,Nam
NV000023,Tran Thi Phu,Tiep vien,Tai chinh,726713738604,097274271300,nv23@airline.vn,1961-08-07,Nam
NV000024,Le Thi Anh,Ky thuat,Khai thac bay,674157289205,034414656600,nv24@airline.vn,1991-09-08,Nam
NV000025,Vu Lan,Tiep vien,An toan bay,479214286063,033778672900,nv25@airline.vn,1997-07-19,Nu
NV000026,Hoang Van Manh,Ky thuat,Ky thuat may bay,764209552432,086102437100,nv26@airline.vn,1967-07-19,Nam
NV000027,Hoang Thi Hung,Dieu hanh,Khai thac bay,838593389858,033322211800,nv27@airline.vn,1962-04-08,Nam
NV000028,Tran Thi Thu,Tiep vien,Ky thuat may bay,224379675130,096104727200,nv28@airline.vn,1973-12-04,Nam
NV000029,Vu Duc Dung,Tiep vien,Dieu hanh bay,259533913229,097306769300,nv29@airline.vn,1983-06-14,Khac
NV000030,Dang Nam,Tiep vien,Tai chinh,323965001607,086692534600,nv30@airline.vn,1972-11-28,Nam
NV000031,Vo Duc Yen,Ky thuat,Khai thac bay,101082809647,086877762300,nv31@airline.vn,1970-01-26,Nam
NV000032,Vo Duc Anh,Tiep vien,Dieu hanh bay,255852379945,034568634700,nv32@airline.vn,1971-07-25,Nam
NV000033,Vo Van Anh,Dieu hanh,Dieu hanh bay,432206456028,097476339300,nv33@airline.vn,1988-04-23,Nu
NV000034,Vo Duc Thu,Tiep vien,Dieu hanh bay,581983659434,033128765800,nv34@airline.vn,1975-11-16,Khac
NV000035,Pham Thi Bao,Phi cong,Ky thuat may bay,506824639500,096527502200,nv35@airline.vn,1966-05-28,Nu
NV000036,Vu Van An,Dieu hanh,Khai thac bay,376092580969,098509857600,nv36@airline.vn,1995-10-19,Nam
NV000037,Vo Van Anh,Tiep vien,Khai thac bay,943219662116,097804183600,nv37@airline.vn,1996-06-01,Khac
NV000038,Pham Van Khanh,Tiep vien,Tai chinh,567138519689,034556242200,nv38@airline.vn,1997-04-21,Khac
NV000039,Bui Duc Cuong,Phi cong,Dieu hanh bay,784926399593,033510847200,nv39@airline.vn,1980-01-28,Nu
NV000040,Huynh Thi Yen,Dieu hanh,Ky thuat may bay,351226168645,086127567200,nv40@airline.vn,1964-02-19,Nam
NV000041,Pham Van Uyen,Tiep vien,Dieu hanh bay,685886624447,097221809200,nv41@airline.vn,1966-11-18,Khac
NV000042,Le Thi Manh,Tiep vien,Ky thuat may bay,139070699834,034119625600,nv42@airline.vn,1997-07-04,Nu
NV000043,Bui Thi Viet,Phi cong,Ky thuat may bay,361664728522,096299278200,nv43@airline.vn,1965-05-26,Nam
NV000044,Nguyen Duc Yen,Dieu hanh,Phuc vu mat dat,931751757323,097110664600,nv44@airline.vn,1991-04-26,Khac
NV000045,Huynh Van Dung,Dieu hanh,An toan bay,407415182432,032816564400,nv45@airline.vn,1982-06-25,Khac
NV000046,Dang Van Khanh,Phi cong,Tai chinh,123930287429,097561806100,nv46@airline.vn,1972-03-27,Nam
NV000047,Pham Thi Binh,Tiep vien,Phuc vu mat dat,242582798168,034873186500,nv47@airline.vn,1963-11-15,Nam
NV000048,Bui Van Hung,Phi cong,Tai chinh,898486996045,033715123800,nv48@airline.vn,1979-11-14,Nam
NV000049,Tran Khanh,Ky thuat,Khai thac bay,508757943796,032994275300,nv49@airline.vn,1971-11-27,Khac
NV000050,Tran Thi Chi,Tiep vien,Khai thac bay,555926840364,032829168700,nv50@airline.vn,1974-12-27,Nam
NV000051,Hoang Duc Anh,Ky thuat,Phuc vu mat dat,686667920728,097461695900,nv51@airline.vn,1988-07-06,Khac
NV000052,Hoang Duc Phu,Dieu hanh,Phuc vu mat dat,907136939376,098133600900,nv52@airline.vn,1972-07-10,Khac
NV000053,Dang Van Viet,Dieu hanh,Khai thac bay,863630590070,033190248300,nv53@airline.vn,1974-12-23,Nam
NV000054,Dang Yen,Dieu hanh,Tai chinh,156415332374,096401641900,nv54@airline.vn,1994-04-26,Nam
NV000055,Pham Van Binh,Tiep vien,An toan bay,192566326182,034980931100,nv55@airline.vn,1994-02-09,Nu
NV000056,Huynh Thi Bao,Tiep vien,Khai thac bay,638707958435,098444436800,nv56@airline.vn,1968-04-23,Nam
NV000057,Dang Hung,Phi cong,Dieu hanh bay,798881029073,096234480900,nv57@airline.vn,1980-08-06,Nu
NV000058,Huynh Van An,Phi cong,Khai thac bay,833474346723,097140612900,nv58@airline.vn,1961-02-11,Nam
NV000059,Bui Van Chi,Tiep vien,Dieu hanh bay,988856747570,032836484600,nv59@airline.vn,1994-11-12,Nam
NV000060,Bui Thi An,Tiep vien,Ky thuat may bay,840362361033,032945605300,nv60@airline.vn,1978-05-09,Nam
NV000061,Tran Thi Bao,Dieu hanh,Tai chinh,695181041601,086581814400,nv61@airline.vn,1991-09-25,Nam
NV000062,Le Duc Khanh,Dieu hanh,An toan bay,146335438043,034736603500,nv62@airline.vn,1990-01-17,Khac
NV000063,Vo Van An,Dieu hanh,Khai thac bay,825861479990,034512069900,nv63@airline.vn,1984-06-21,Nu
NV000064,Tran Duc Son,Dieu hanh,Phuc vu mat dat,514057109661,096306263000,nv64@airline.vn,1975-07-05,Nu
NV000065,Dang Duc Manh,Tiep vien,Tai chinh,499642402953,034385608000,nv65@airline.vn,1996-07-24,Nam
NV000066,Dang Binh,Phi cong,Dieu hanh bay,362885999693,086871791600,nv66@airline.vn,1982-01-25,Nam
NV000067,Le Van Chi,Tiep vien,Khai thac bay,237130311126,098757124200,nv67@airline.vn,1976-09-04,Nam
NV000068,Hoang Thi Nam,Dieu hanh,Dieu hanh bay,374581123804,096425236700,nv68@airline.vn,1984-12-25,Nam
NV000069,Dang Chi,Tiep vien,Phuc vu mat dat,839399497549,032337399200,nv69@airline.vn,1985-10-22,Nu
